>intids visit filter=r ccd amp
raw field=D2 visit=787731 filter=r ccd=00 amp=0
raw field=D2 visit=787731 filter=r ccd=01 amp=0
raw field=D2 visit=787731 filter=r ccd=02 amp=0
raw field=D2 visit=787731 filter=r ccd=03 amp=0
raw field=D2 visit=787731 filter=r ccd=04 amp=0
raw field=D2 visit=787731 filter=r ccd=05 amp=0
raw field=D2 visit=787731 filter=r ccd=06 amp=0
raw field=D2 visit=787731 filter=r ccd=07 amp=0
raw field=D2 visit=787731 filter=r ccd=08 amp=0
raw field=D2 visit=787731 filter=r ccd=09 amp=0
raw field=D2 visit=787731 filter=r ccd=10 amp=0
raw field=D2 visit=787731 filter=r ccd=11 amp=0
raw field=D2 visit=787731 filter=r ccd=12 amp=0
raw field=D2 visit=787731 filter=r ccd=13 amp=0
raw field=D2 visit=787731 filter=r ccd=14 amp=0
raw field=D2 visit=787731 filter=r ccd=15 amp=0
raw field=D2 visit=787731 filter=r ccd=16 amp=0
raw field=D2 visit=787731 filter=r ccd=17 amp=0
raw field=D2 visit=787731 filter=r ccd=18 amp=0
raw field=D2 visit=787731 filter=r ccd=19 amp=0
raw field=D2 visit=787731 filter=r ccd=20 amp=0
raw field=D2 visit=787731 filter=r ccd=21 amp=0
raw field=D2 visit=787731 filter=r ccd=22 amp=0
raw field=D2 visit=787731 filter=r ccd=23 amp=0
raw field=D2 visit=787731 filter=r ccd=24 amp=0
raw field=D2 visit=787731 filter=r ccd=25 amp=0
raw field=D2 visit=787731 filter=r ccd=26 amp=0
raw field=D2 visit=787731 filter=r ccd=27 amp=0
raw field=D2 visit=787731 filter=r ccd=28 amp=0
raw field=D2 visit=787731 filter=r ccd=29 amp=0
raw field=D2 visit=787731 filter=r ccd=30 amp=0
raw field=D2 visit=787731 filter=r ccd=31 amp=0
raw field=D2 visit=787731 filter=r ccd=32 amp=0
raw field=D2 visit=787731 filter=r ccd=33 amp=0
raw field=D2 visit=787731 filter=r ccd=34 amp=0
raw field=D2 visit=787731 filter=r ccd=35 amp=0

raw field=D2 visit=787731 filter=r ccd=00 amp=1
raw field=D2 visit=787731 filter=r ccd=01 amp=1
raw field=D2 visit=787731 filter=r ccd=02 amp=1
raw field=D2 visit=787731 filter=r ccd=03 amp=1
raw field=D2 visit=787731 filter=r ccd=04 amp=1
raw field=D2 visit=787731 filter=r ccd=05 amp=1
raw field=D2 visit=787731 filter=r ccd=06 amp=1
raw field=D2 visit=787731 filter=r ccd=07 amp=1
raw field=D2 visit=787731 filter=r ccd=08 amp=1
raw field=D2 visit=787731 filter=r ccd=09 amp=1
raw field=D2 visit=787731 filter=r ccd=10 amp=1
raw field=D2 visit=787731 filter=r ccd=11 amp=1
raw field=D2 visit=787731 filter=r ccd=12 amp=1
raw field=D2 visit=787731 filter=r ccd=13 amp=1
raw field=D2 visit=787731 filter=r ccd=14 amp=1
raw field=D2 visit=787731 filter=r ccd=15 amp=1
raw field=D2 visit=787731 filter=r ccd=16 amp=1
raw field=D2 visit=787731 filter=r ccd=17 amp=1
raw field=D2 visit=787731 filter=r ccd=18 amp=1
raw field=D2 visit=787731 filter=r ccd=19 amp=1
raw field=D2 visit=787731 filter=r ccd=20 amp=1
raw field=D2 visit=787731 filter=r ccd=21 amp=1
raw field=D2 visit=787731 filter=r ccd=22 amp=1
raw field=D2 visit=787731 filter=r ccd=23 amp=1
raw field=D2 visit=787731 filter=r ccd=24 amp=1
raw field=D2 visit=787731 filter=r ccd=25 amp=1
raw field=D2 visit=787731 filter=r ccd=26 amp=1
raw field=D2 visit=787731 filter=r ccd=27 amp=1
raw field=D2 visit=787731 filter=r ccd=28 amp=1
raw field=D2 visit=787731 filter=r ccd=29 amp=1
raw field=D2 visit=787731 filter=r ccd=30 amp=1
raw field=D2 visit=787731 filter=r ccd=31 amp=1
raw field=D2 visit=787731 filter=r ccd=32 amp=1
raw field=D2 visit=787731 filter=r ccd=33 amp=1
raw field=D2 visit=787731 filter=r ccd=34 amp=1
raw field=D2 visit=787731 filter=r ccd=35 amp=1
